subject,number,name,credit_num,description,prerequisites,course
AFST,205,Contemporary Black Popular Culture ,3,"This course examines the folk idiom and current images of black American culture as reflected in the creative works of contemporary black artists in the areas of film, music, sports and language. Examples are drawn from each of these areas to demonstrate the continuity of these images across artistic domains.",,AFST 205
AFST,206,Introduction to African-American History: A Survey ,3,This course offers a broad survey of the history of the African-American experience from the African background to the present.,,AFST 206
AFST,211,Introduction to Contemporary Africa ,3,"A survey of contemporary Africa, its geography, peoples and cultural heritage. Economic, cultural, political and social changes on the continent since World War II, including the struggle for independence and the problems of nation-building.",,AFST 211
AFST,212,Introduction to African History ,3,"A survey of ancient and medieval kingdoms of Africa, the spread of Islam in Africa, European slave trade, white settler penetration of southern Africa and Arab penetration of East Africa, the colonial conquest, the 20th century and the emergence of nationalist movements seeking independence.",,AFST 212
AFST,213,Africa: Culture and Development ,3,"This course provides a general introduction to Africa. It is designed to survey its peoples, languages, cultures, societies and development. An emphasis is placed on how language and development are interrelated. Modules are offered to students to build on their special interests in the continent.",,AFST 213
AFST,215,Introduction to African Dance ,3,"Course offers an understanding of the role of dance in daily life in African societies. Types of African dance are distinguished; basic movements are identified, and relationship of dance to other African arts is shown.",,AFST 215
AFST,230,Comparative African Religions ,3,"An introduction to indigenous religions of Africa. Religions in African traditional society, with special reference to the principal elements in the religious system - the Supreme Being, the cosmic gods, the ancestors and lesser spirits. The impact of Islam and Christianity.",,AFST 230
AFST,240,Topics in African and African-American Studies ,3,Examination of current issues highlighting the experiences of blacks in the diaspora. Topics will be published in the Schedule of Classes. This course is repeatable for credit with different topic. Students may complete a maximum of 12 credits or 4 attempts.,,AFST 240
AFST,241,The Making of the Caribbean ,3,"The course presents a historical analysis of the growth and development of African peoples in the Caribbean and Latin America. The nature and character of African cultural survivors and their impact on the Caribbean, slavery, abolition, colonization, efforts toward federation, independence and contemporary issues will be discussed. Recommended Preparation: AFST 100 or permission of instructor.",,AFST 241
AFST,245,Introduction to Black Music ,3,"A survey of the form and function of music in African and diasporan cultures. General areas to be explored will be music in ritual and ceremony, as transmitter of history and culture, and as a social and political tool.",,AFST 245
AFST,250,Directed Individual Study ,3,Individual study for an in-depth exploration of a subject. Submission of a written plan and the acceptance of a faculty member for supervision of the study are required.  This course is repeatable for credit. Students may complete a maximum of 6 credits.,,AFST 250
AFST,255,Psychology of the Black Experience in the United States ,3,A survey of selected psychological theories and research pertaining to black people. Includes an introduction to black psychology.,,AFST 255
AFST,260,Black Literature to 1900 ,3,"A critical introduction to representative oral and written literature by primarily black writers in the Americas and in Africa, from the earliest times to the end of the 19th century. Attention will be given to ways in which blacks have reflected their changing roles and fortunes in their literature, as well as to perceptions of blacks by other races and cultures as expressed in literature.",,AFST 260
AFST,261,Black Literature: Twentieth Century ,3,"The development of black literature of the Americas and of Africa in the 20th century. Emphasis on such topics as race pride and consciousness, the Harlem Renaissance, Negritude, the new black consciousness, literature of exile, folk themes in modern writings, interconnections between writers from different regions and hemispheres, and cross-currents between black literature and other literatures.",,AFST 261
AFST,262W,Introductory Writing in Africana Studies ,3,,,AFST 262W
AFST,263,Introduction to Black Drama ,3,"This course is designed to increase the student’s understanding and awareness of black theatre. This includes the history and development of black theatre in America, as well as emphasis on Third-World writers.",,AFST 263
AFST,264,Introductory Writing in Africana Studies ,3,"An introductory writing course that will teach students to write and speak effectively based on the study and critique of internationally acclaimed works of creative literature from African and the Diaspora. The course permits students to become experts on the content of three short texts written by Nobel Literary Prize winners of African descent. Students will use these three texts as the basis for most of the semester’s writing exercises and will work closely with the course professor to learn and practice a series of new, creative, common sense, and systematic approaches to exploring the component parts of the analytical writing experience. Recommended Preparation: ENGL 100 and AFST 100 .",,AFST 264
AFST,271,Introduction to Community Involvement ,3,"A survey of issues and opportunities in the area of community involvement. Introduction to the growth and evolution of black communities, with emphasis on the living conditions of their members and the problems facing community developers. Varieties of black communities are studied.",,AFST 271
AFST,275,The Criminal Justice Process and Black Americans ,3,"A study of the organization, role and responsibility of law enforcement agencies, e.g., the police, district attorneys, trial courts, grand juries, and correctional and rehabilitative systems. Interrelationships among these agencies and their relationship with the black community. Students will examine inner-city legal problems as an aspect of social control and explore how selected agencies relate to law enforcement.",,AFST 275
AFST,301,Research Design and Documentation ,3,"Discussions, demonstrations and practice culminating in the writing of a proposal for a research project in Africana studies. Includes a description of available bibliographic resources. Recommended Preparation: AFST 201 or permission of instructor.",,AFST 301
AFST,312,West African History ,3,"History of West Africa from the period of the medieval empires through the era of the slave trade, the revolutionary 19th century, colonial rule and independence. This is a Writing Intensive class. Recommended Preparation: AFST 211 , AFST 212 , HIST 242 , HIST 243 , or permission of instructor.",ENGL 100 with a grade of ‘C’ or better.,AFST 312
AFST,314,Islam in Africa ,3,"This course is presented to provide the student with an introduction and overview of the history of Islam in Africa. This requires a discussion of Islam itself, its origins, philosophical thought, praxis and expansion. We then will turn to a more detailed examination of the penetration of Islam in Africa, eventually concentrating on its sub-Saharan influences. Recommended Preparation: AFST 211 or AFST 212 or HIST 242 or HIST 243 .",,AFST 314
AFST,320,Contemporary African Politics ,3,"Nationalism and the struggle for independence. The evolution of post-independence systems and institutions. Examination of problems and trends since independence, including development administration, territorial and ethnic conflicts, nation-building and the role of the military, decolonization and neocolonialism, and Africa in world affairs.  This course is repeatable for credit. Recommended Preparation: AFST 211 or HIST 242 .",,AFST 320
AFST,323,Economic Development in Africa ,3,"The economic structure of traditional African societies. Domestic methods of production, distribution and exchange. From colonial economic exploitation to post-independence underdevelopment. The nature of economic development, planning, regional cooperation, international trade and foreign aid. Recommended Preparation: AFST 211 .",,AFST 323
AFST,340,Issues in African and Afro-American Studies ,3,Topics will be published in the Schedule of Classes. This course is repeatable for credit with different topic. Students may complete a maximum of 12 credits.,,AFST 340
AFST,344,Black Folklore ,3,"A study of black folklore of Africa and the African diaspora and its continuing influence on contemporary society. Folktales from Aesop to the New World and the question of provenance. Folk beliefs and folk practices including ritual, traditional medicine, celebrations, games and (work) songs. Parallels and distinctions between folklore and popular culture. Two or three cultures selected from Africa and the diaspora will be studied each semester offered.",,AFST 344
AFST,345,Black American Music ,3,"An in-depth study of the development of the music of blacks in the United States from early colonial period to the present. Particular attention will be devoted to slave songs, the evolution of the blues and jazz, and the Africanisms evident in these idioms. Recommended Preparation: AFST 245 or MUSC 215 .",,AFST 345
AFST,347,"Gender, Race, and Media ",3,"In this course, we define media and analyze intersecting formations of gender, race, class, and sexuality, as produced through a range of media genres and forms. These include, but are not limited to, advertisements and commercials, television and film, music and music videos, visual arts, and digital visual cultures. We interrogate media as powerful, pervasive sites where dynamic relations between dominant representations and resistant subject formations are staged. As consumers and producers of media, we learn to articulate the entanglement of social justice concerns, politics, and cultural and economic resources. We practice tools of critical reading and thinking, such as textual analysis, visual discourse analysis, and the basics of media literacy.",,AFST 347
AFST,348,"Black, Queer, and Feminist Film ",3,"This course examines prominent themes in films that fall within the categories “Black,” “Queer,” and “Feminist.” Most of the films are narrative, dealing with issues involving race, gender, and sexuality. This course is not just about watching films. It makes extensive use of critical historical and theoretical texts from the disciplines of psychoanalysis, feminism, literary and queer theory, as well as from film history, art history, and critical theory. Prior knowledge of film-making and/or film history/theory is not required.",ART 216 or ART 221 with a grade of ‘C’ or better.,AFST 348
AFST,350,Psychology of Racism ,3,Analysis of current psychological theory and research on individual and institutional racism.,AFST 255 with a grade of ‘C’ or better.,AFST 350
AFST,351,Black Political Thought ,3,An exposition and critical analysis of major political and social ideas of contemporary black leaders. Emphasis will be placed on the content of the thinkers’ ideas and on societal factors. Recommended Preparation: Junior/senior standing or permission of instructor.,,AFST 351
AFST,352,African-American History to 1865 ,3,"An in-depth examination of the social, political and economic history of African Americans in the United States from the 1600s to the Civil War era focusing on chattel slavery, the free black community, family, abolitionism, resistance and the Civil War. Recommended Preparation: AFST 100 or AFST 206 or junior/senior standing or permission of instructor.",,AFST 352
AFST,353,African American History Since 1865 ,3,"An in-depth examination of the political, social, economic and cultural history of African Americans in the United States from the Reconstruction era following the Civil War up to present. Topics include African Americans and the military, the Great Depression, migrations, urbanization, racism, family, civil rights and current issues. Recommended Preparation: AFST 100 or AFST 206 or junior/senior standing or permission of the instructor.",,AFST 353
AFST,354,African American Women’s History ,3,"This course traces the history of African -American women in the United States, beginning with their ancestors’ history in pre-colonial Africa and U.S. slavery to the present. Topics covered include work; family roles; activism; achievements; and bouts with racism, sexism and poverty. Recommended Preparation: Any 100-level Social Science course or 200-level Literature course or junior/senior standing or permission of instructor.",,AFST 354
AFST,360,Studies in Black Fiction ,3,"Critical examinations of selected works of fiction by and about blacks based on a particular historical period, theme, type or direction. Selected works may be from one or more of the three areas of concentration (Africa, United States, Caribbean and Latin America). Topics will be published in the Schedule of Classes. This course is repeatable for credit with different topic. Students may complete a maximum of 6 credits. Recommended Preparation: AFST 260 or AFST 261 .",,AFST 360
AFST,361,Studies in Black Drama ,3,"The portrayal of the black experience in plays by primarily black dramatists. Examination of problems encountered in reading or producing plays of black writers. Experiments and new directions in black drama and theatre. Selections will treat a specific historical period, theme or group of dramatists from one or more areas of concentration: Africa, the United States, Caribbean and Latin America. Topics will be published in the Schedule of Classes. This course is repeatable for credit with different topic. Students may complete a maximum of 6 credits.",AFST 261 with a grade of ‘D’ or better.,AFST 361
AFST,362,Studies in Black Poetry ,3,"Examination of a theme, group of poets, or historical period in the development and evolution of black poetry. The special contribution of poetry in the development of a black ethos and a black consciousness. Poets may come from one or more of three geographic areas: Africa, the United States, the Caribbean and Latin America. Special selections of black poetry from other areas may be included. Topics will be published in the Schedule of Classes. This course is repeatable for credit with different topic. Students may complete a maximum of 6 credits.",AFST 260 or AFST 261 with a grade of ‘D’ or better.,AFST 362
AFST,363,"Literature, Society and Blacks: Regional ",3,"Blacks and black society as reflected in the creative literature written by or about blacks from a geographic region of Africa, from North America (especially from the United States), or from the Caribbean and Latin America. The focus will be on poetry, drama, fiction or some combination of these. Topics will be published in the Schedule of Classes. This course is repeatable for credit with different topic. Recommended Preparation: AFST 260 or AFST 261 .",,AFST 363
AFST,364,Advanced Writing in Africana Studies ,3,"An advanced writing course that complements students’ liberal arts training for careers in Africana Studies related professions/fields such as international relations, education, history, journalism, community action, non-profit organization, government affairs, public relations, law, public-speaking, and diversity training and mediation. This course differs from AFST 264 with respect to rigor and content by requiring students to utilize advanced skills of critical analysis within the framework of interdisciplinarity introduced in AFST 100 and AFST 264 to draft a complex final research paper whose topic and approach reflects their evolving intellectual advancement. While the course continues to address the globally recognized traditions of excellence celebrated by the Nobel committee (this time concerning Peace not Literature), as an upper division seminar, it prioritizes such content in terms of history, politics, social justice, and cultural philosophy. Students will thus have a unique opportunity to chronicle their philosophical responses to political events, systems of oppression, and humanitarian activism through journaling and through the ongoing development of complex critical ideas that will evolve into theses that support both short and lengthy assignments. Recommended Preparation: ENGL 100 , AFST 100 , or any 200-level AFST course with a grade of “C” or better, or permission of the instructor.",,AFST 364
AFST,367,Workshop in Black Theatre ,6,A workshop for students with experience in production and commitment to black drama. At least one play will be studied in depth and directed for stage production. Recommended Preparation: Permission of instructor.,,AFST 367
AFST,368,African Religions in Africa and the Diaspora ,3,"A comparative study of selected indigenous African religions and an examination of African religious survivals in the New World. Continuity and change in the principal forces of the religious systems: the Supreme Being, the cosmic gods, the ancestors and lesser spirits, as well as the relationship to other religions. Recommended Preparation: Junior/senior standing.",,AFST 368
AFST,369,Black Families in the United States ,3,"A historical and contemporary analysis of black families in America and the forces that have influenced black family life. A reassessment of the numerous social science theories about the black family and an attempt to correct distortions. The effects that the African background, slavery, racism and the black community have had on black-American family lifestyles. Recommended Preparation: Junior/senior standing.",,AFST 369
AFST,370,Black Women: Cross-Cultural Perspectives ,3,"A comparative examination of selected social and psychological factors that influence the lives of black women in Africa and the diaspora. Recommended Preparation: AFST 100 , GWST 100 or permission of instructor.",,AFST 370
AFST,371,The Female Offender ,3,An examination of causes and incidence of female crime and the exploration of major theories from Freud to the feminist. Community response to female crime and alternative forms of treatment are evaluated. Recommended Preparation: AFST 271 or junior/senior standing.,,AFST 371
AFST,372,Economic Activity in the Black Community ,3,"Afro-American economic activity in urban and rural America. The development of black participation in the economy. The dilemmas of black capitalism. Income distribution, policies, strategies and programs to combat economic powerlessness of blacks in the United States. Recommended Preparation: ECON 101 or permission of instructor.",,AFST 372
AFST,375,The Black Church ,3,The emergence and development of the black church as a distinctive institution in the United States. An evaluation of the authority of the black church in religious and secular matters. The functions of the black church in urban communities. Recommended Preparation: Junior/senior standing or permission of instructor.,,AFST 375
AFST,377,Black Community Development ,3,"This course focuses on specific research, planning and organizing skills needed by community development workers and on techniques and strategies of helping community members achieve their personal and collective goals. Consideration also is given to the main types of community research and intervention. Recommended Preparation: AFST 271 .",,AFST 377
AFST,378,Population Dynamics of Black Americans ,3,"This is a study of the population and demographic characteristics of Afro-Americans. Topics to be discussed include patterns and significance of the variation in fertility, family planning, mortality, migration and urbanization. Population and politics, population and resources, and the depopulation of rural areas. Recommended Preparation: Junior/senior standing or permission of instructor.",,AFST 378
AFST,381,Urban Housing Policy ,3,"The course studies the urban housing problems of the black community, their causes, effects and proposed remedies for them. While much of this course deals with the housing problems of blacks in Baltimore, the problems studied are common to major cities within the United States. Recommended Preparation: Junior/senior standing or permission of instructor.",,AFST 381
AFST,385,Problem-Solving in the Urban Black Community ,3,"Urban problems within the Black community. Nature and types of problems, causes (internal and external), effects and remedies. Recommended Preparation: AFST 271 or junior/senior status.",,AFST 385
AFST,390,American Health Care System and the Black Community ,3,"A course for students concerned with the health status of black, poor and minority people. Analysis of the relationship between the condition of the health of black people in America and the health delivery system. Specific attention will be on federal, state and local health care policies; personnel training in health administration; medical care organizations; financing and research and evaluation. Recommended Preparation: PBHL 100 , AFST 271 or junior/senior status.",,AFST 390
AFST,392,"Race, Crime and Public Policy ",3,"This course examines social, political, and historical factors that have contributed to the chronic over-involvement of African Americans in the U.S. criminal justice system. It examines the perception of African Americans as criminals; the rhetoric of race; American political and criminal justice history; and how they have provided context for contemporary problems faced by African Americans with the criminal justice system in terms of mass incarceration and police misconduct. Baltimore and New York City are used as case studies for these problems. Recommended Preparation: AFST 100 and a lower level SS course (with at least a ‘C’ grade).",,AFST 392
AFST,394,"Race, Social Inequality, and Institutional Structure ",3,"This course examines theoretical and empirical analyses of race, social inequality, and institutional racism in the United States. It focuses on the historical development of race and racism, social inequalities in the United States with an emphasis on institutional racism in health and mass incarceration, as well as past and current efforts to foster positive changes through public policy and individual agency. Patterns and processes associated with racial inequities, political inequality, ideology, and global issues will also be examined. Recommended Preparation: AFST 100 and SOCY 101 or a lower level SS course (with at least a ‘C’ grade).",,AFST 394
AFST,396,"Psychology, Race, and Social Justice ",3,This course examines historical and psychological factors that have influenced the mistreatment of African Americans by the U.S. criminal justice system. Psychological research and theory are used to provide insights on why such misconduct persists on the part of justice officials. Issues explored include the contributions of implicit biases and cultural stereotypes for such behavior. Social justice principles and applied psychological research findings are used to explore possible amelioration of these inequalities. Recommended Preparation: AFST 100 and a lower level SS course (with at least a ‘C’ grade).,,AFST 396
AFST,411,American Foreign Policy and Africa ,3,"American policy toward Africa, focusing on the period since World War II. Issues include East-West rivalry, liberation movements in southern Africa, the political economy of aid and trade (the North-South dialogue), and such cultural questions as the New Information Order and the role of the Peace Corps. Recommended Preparation: AFST 211 or AFST 212 .",,AFST 411
AFST,415,"Music, Art and Society in West Africa ",3,A study of the functions and form of traditional and contemporary music in several West African ethnic groups. The use of instrumentation and voice will be studied through listening and performance. A class visit to one museum housing these instruments is required. Recommended Preparation: AFST 245 .,,AFST 415
AFST,420,Comparative Slavery: Africa and the New World ,3,Historical examination and comparison of the emergence of domestic slavery in Africa and chattel slavery in the New World and the Americas. Explores the social conditions that shaped these institutions and that led to overt and covert forms of resistance and slavery’s eventual decline. Recommended Preparation: AFST 212 or AFST 352 or junior/senior standing.,,AFST 420
AFST,430,Health Care in Africa ,3,"Patterns of health care in Africa. Analysis of economic, political, demographic and cultural factors that influence health care delivery. Common diseases. The practice of curative medicine in urban centers and primary health care in rural areas. Traditional medicine, modern paramedical programs, child and maternal health care, family planning, nutrition, pharmacies, health education, financing, etc., and their meaning for Africa’s development. Recommended Preparation: AFST 211 or AFST 390 .",,AFST 430
AFST,439,Women in Africa and the Diaspora ,3,"This course uses the comparative approach to examine the experiences of women of African descent from the era of the trans-Atlantic slave trade to the present. It will introduce students to interdisciplinary and comparative theories and materials that will enable them to explore the economic, cultural, social and political roles of women in Africa and African descended women in the United States. Using comparative gender analysis as its theoretical focus with a global perspective, the course emphasizes the diverse, shared historical experiences of women of African descent as enslaved persons, colonial subjects and victims of all forms of oppression as well as agents of social change. Examined as well are their roles in society as mothers, daughters, wives and workers along with their participation in social and political movements since the abolition era. The course also highlights how such other social indexes as class, race, ethnic, national and religious backgrounds affect women’s lives and roles in society. Problems and issues that directly affect them and how to improve their status in the face of increased globalization will be explored.",,AFST 439
AFST,440,Topics in African and African-American Studies ,3,Seminar for upper-level students. Topics will be published in the Schedule of Classes. This course is repeatable for credit with different topic. Students may complete a maximum of 6 credits or 2 attempts. Recommended Preparation: One or more 300-level courses in Africana concentration.,,AFST 440
AFST,442,African-Caribbean Music ,3,"The song and dance music of Caribbean countries will be studied through listening and performance. The derivatives of African religious and cult music found in Haiti, Trinidad-Tobago and Cuba will be examined. The influences of French and Spanish cultures on the form and content of African-Caribbean songs and dances also will be studied. Recommended Preparation: AFST 245 .",,AFST 442
AFST,445,Black Music in the New World ,3,"This is a seminar devoted to topics focusing on particular aspects of Afro-American, Afro-Caribbean and/or Afro-Latin music. The quality, type and intensity of Africanisms in the music of a region, a group or an era will be explored. An intensive examination of the development of new musical idioms, including the reciprocity of African with European influences. A research paper or project is required. Recommended Preparation: AFST 245 and junior/senior standing or permission of instructor.",,AFST 445
AFST,450,Black Philosophical Thought in the Twentieth Century ,3,"The complexity of the ideas of major black thinkers A. Locke, H. Thurman and W.E.B. DuBois as they dealt with philosophical theory and criticism. An analysis and discussion of that body of knowledge that deals with metaphysical and material approaches to thought. Recommended Preparation: Honors major and senior standing.",,AFST 450
AFST,453,Topics in the Psychology of the Black Experience ,3,"An intensive examination of current trends, theory and practice in selected areas, e.g., the black personality, testing of American minorities, psychological methodology and research on black populations, gender roles in the black community, black psychology, mental health in the Black community. Topics will be published in the Schedule of Classes. This course is repeatable for credit with different topic. Students may complete a maximum of 6 credits. Recommended Preparation: AFST 255 .",,AFST 453
AFST,460,Seminar in Black Hair and Body Politics ,3,"This course will focus on constructions of Black hair and the Black body in media of the 20th and 21st century. The seminar combines primary readings, personal anecdotes, and applied research about the body, its extremities (such as hair), its performance of sexualities and identities in the context of the production of culture and social relations. Examining this body of literature from a range of theoretical and applied perspectives enables analysis and discussion of the processes used in the creation of cultural meaning-making. Additionally, a critique of the readings will also afford the opportunity to explore alternatives to the perpetuated materialist or constructivist binary existing in approaches to the body. Measures of prescription give way to problematizing and questioning the readings in order to explore dynamic resolutions at the individual level. AFST or AMST or other social sciences of humanities course focused on American society or culture will provide students a knowledge base useful for this course.",,AFST 460
AFST,465,Seminar in African and African-American Literature ,3,"A study of creative writers of African descent in America, Africa and the Caribbean and the impact of their works on the shaping of consciousness among black people. Focus on issues and themes such as alienation, confrontation, accommodation, revolution, tradition and modernism, the New Negro, Negritude, African personality, Black Power, etc. Topics will be published in the Schedule of Classes. This course is repeatable for credit with different topic. Students may complete a maximum of 6 credits or 2 attempts. Recommended Preparation: AFST 260 and AFST 261 ; one of AFST 360 , AFST 361 or AFST 362 ; or permission of the instructor.",,AFST 465
AFST,473,The Black Senior Citizen ,3,"The historic and contemporary role that the black aged have played in black communities. Attention is given to special problems that afflict the black aged, such as higher frequency of illnesses, earlier deaths, social isolation. Methods for working out solutions to problems of the black aged. Recommended Preparation: Junior/Senior status or permission of the instructor.",,AFST 473
AFST,490,Community Internship Project ,6,"Specified period of internship in which students are exposed to practical and associational experiences with workers in community planning, health, welfare, correctional services and other development agencies.  This course is repeatable for credit. Students may complete a maximum of 12 credits. Recommended Preparation: AFST 377 . Note: Students are expected to work out internship plans with the instructor well in advance of proposed starting date.",,AFST 490
AFST,493,Service Learning: Race and Social Advocacy ,3,"This course introduces students to the methods and perspectives of activism, advocacy, and social justice through service learning. It provided students with an opportunity to explore in depth the philosophy and theory behind advocacy and community organizing; and tools to question and challenge the status quo pertaining to cultural democracy. Students will be required to work with a community activist or existing organization with a strong focus on community centered social justice. Recommended Preparation: Lower Level Social Sciences course with a ‘C’ or better.",AFST 100 with a grade of ‘C’ or better.,AFST 493
AFST,495,Field Research in Africana Studies (3,6,Supervised empirical research in the field. Prior approval of written research proposal by a faculty member must be secured. Individual meeting with supervising faculty member on regular basis is required. Written report expected. Recommended Preparation: AFST 301 . Note: Students should obtain AFST guidelines on directed individual study from the department.,,AFST 495
AFST,498,Directed Individual Study (2,6,"Directed work in the systematic investigation of a problem selected by the student in consultation with an advisor. May be taken in conjunction with the research paper option for majors in Africana Studies, B.A. This course is repeatable for credit. Students may complete a maximum of 6 credits. Recommended Preparation: Approved written proposal by supervising instructor based on the directed individual study guide obtainable from the department.",,AFST 498
AFST,499,Honors Thesis (3,6,Open only to students who have outstanding records of academic achievement and who are Africana studies majors. Students must enroll for both semesters of the sequence. Credit and grade will be assigned upon the completion of the thesis. Approval of topic by department required prior to assignment of faculty supervisors.,,AFST 499
ASL,101,American Sign Language I ,3,"American Sign Language 101 is designed for students who have little or no previous knowledge of ASL. The course emphasizes simple receptive and expressive conversational skills and the unique features of American Sign Language grammar. Readiness for learning will be approached via visual-gestural communication techniques, visual discrimination, and visual memory exercises, emphasizing the acquisition of comprehension, production and interactional skills using basic grammatical features. ASL will be taught within contexts and related to general surroundings and everyday life experiences. The course also provides a historical overview of American Sign Language and an introduction to deaf culture and folklore. Videos, films, readings and non-verbal feedback exercises will be a part of the instruction using tools.      (Fall/Summer)",,ASL 101
ASL,102,American Sign Language II ,3,"American Sign Language 102 is designed to build on ASL 101 providing for a higher level of receptive and conversational practice and will introduce several “uninterpreted” activities. Learning goals will focus on the development of American Sign Language (ASL) skills with a primary focus on refining the use of basic ASL sentence types. Pronominalization, classifiers, spatial referencing, pluralization, and temporal and distributional aspects are introduced. Students will learn routine communicative functions of the language: asking, requesting, providing clarification, giving and asking for directions. Information about the Deaf Community and Deaf Culture will be included.      (Spring)",ASL 101 with a grade of ‘C’ or better.,ASL 102
ASL,201,American Sign Language III ,3,"American Sign Language 201 is designed to build on ASL 102 in order to further develop the receptive and expressive visual communication skills in ASL. This will include adding more complex ASL grammatical features and vocabulary, short stories, narratives, and dialogues. The course will include a description of general surroundings, appropriate sequencing, temporal aspects, and conditionals. The course will also focus on cultural aspects of the deaf community and will include discussions and formal signing presentations.      (Fall/Summer)",ASL 102 with a grade of ‘C’ or better.,ASL 201
AMST,100,Introduction to American Studies ,3,"A broad introduction to the study of American culture, past and present. The course focuses upon primary ideas that have been most influential in the development of American culture and their expression in various forms, written and visual. Special emphasis is placed upon tensions between the individual and society and upon the relationship of culture to subcultures.",,AMST 100
AMST,100H,Introduction to American Studies ,3,"A broad introduction to the study of American culture, past and present. The course focuses upon primary ideas that have been most influential in the development of American culture and their expression in various forms, written and visual. Special emphasis is placed upon tensions between the individual and society and upon the relationship of culture to subcultures.",,AMST 100H
AMST,100Y,Introduction to American Studies ,4,"A broad introduction to the study of American culture, past and present. The course focuses upon primary ideas that have been most influential in the development of American culture and their expression in various forms, written and visual. Special emphasis is placed upon tensions between the individual and society and upon the relationship of culture to subcultures.",,AMST 100Y
AMST,200,What is an American? ,3,"This course will explore the evolving question of what constitutes American identity and belonging through important readings on race, class, ethnicity, religion, immigration, gender, sexuality, freedom, and equality.",,AMST 200
AMST,200H,What Is an American? ,3,"This course will explore the evolving question of what constitutes American identity and belonging through important readings on race, class, ethnicity, religion, immigration, gender, sexuality, freedom, and equality.",,AMST 200H
